x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
1480;8;-0.664048;0.602742;0.896805;-0.000201482;0.0115346;-0.000810527;0.000248961;-0.0123452;0.0123452;4.74788e-05;9.29841e-06;0;1.12114;0;0;0;0;0
1496;8;-0.649378;0.582515;0.872362;0.00100726;0.00658883;-0.0016376;-0.00425792;-0.00822643;0.00822643;-0.00325065;3.85935e-06;0;1.21295;0;0;0;0;0
1512;8;-0.637885;0.551137;0.843;0.00086715;-0.00713979;-0.00224385;0.0054788;0.00489595;0.00489595;0.00634595;0;0;1.15598;0;0;0;0;0
1528;8;-0.624232;0.513211;0.808116;0.000489403;-0.00651989;-0.00231089;0.00680205;0.004209;0.004209;0.00729146;0;0;1.1223;0;0;0;0;0
1544;8;-0.629375;0.479125;0.790996;-0.00173347;-0.00164903;-0.0019113;0.00427411;-0.000262271;0.000262271;0.00254064;0;0;1.11596;0;0;0;0;0
1560;8;-0.675267;0.450112;0.811534;-0.00282596;-0.00514934;-0.00211405;0.00409572;0.00303529;0.00303529;0.00126976;0;0;1.13128;0;0;0;0;0
1576;8;-0.713338;0.41332;0.824429;-0.00242001;-0.00245195;-0.00183252;0.00668041;0.000619432;0.000619432;0.0042604;0;0;1.32525;0;0;0;0;0
1592;8;-0.753347;0.392666;0.84954;-0.00241176;-0.0012827;-0.00112785;0.00391117;0.000154846;0.000154846;0.00149941;0;0;1.28282;0;0;0;0;0
1608;8;-0.789376;0.3714;0.872383;-0.00207463;-0.00961179;-0.00194269;0.00780169;0.0076691;0.0076691;0.00572706;0;0;1.13109;0;0;0;0;0
1624;8;-0.820515;0.331302;0.884877;-0.0019118;-0.00847141;-0.00250294;0.00989439;0.00596848;0.00596848;0.00798259;0;0;1.12956;0;0;0;0;0
1640;8;-0.852353;0.295402;0.902091;-0.00228592;-0.00604458;-0.0020075;0.0109089;0.00403709;0.00403709;0.00862299;0;0;1.10406;0;0;0;0;0
1656;8;-0.890102;0.265246;0.928783;-0.00180174;-0.000361413;-0.0020121;0.00659125;-0.00165069;0.00165069;0.0047895;0;0;1.17884;0;0;0;0;0
1672;8;-0.907172;0.228389;0.935479;-0.000484317;0.000289708;-0.00261167;0.00323872;-0.00290138;0.00290138;0.00275441;0;0;1.10733;0;0;0;0;0
1688;8;-0.913127;0.181525;0.930995;-0.000996481;-0.00411917;-0.00316889;0.00103105;0.000950285;0.000950285;3.45731e-05;0;0;1.10258;0;0;0;0;0
